Variable,Condition,BR,Share,All,Bad,Good,Logit,GRP,Type,Bad share,Good share,Infomration Value,Share test,Bad share test,Population Stability Index_x,Population Stability Index for bads_x,Gini train,Gini test,R. Gini,Population Stability Index_y,Population Stability Index for bads_y
act_ccss_min_lninst,6.500 <= act_ccss_min_lninst,0.7958297132927888,0.2882544452792387,1151,916,235,1.360430534168447,0,INT,0.4501228501228501,0.1200204290091931,0.4361471201390327,0.240521327014218,0.3726027397260274,0.008638071271633574,0.01464831829401251,0.5009587078024258,0.490353762118569,0.0211693010195949,0.02294800237606485,0.05313321172795519
act_ccss_min_lninst,3.5 <= act_ccss_min_lninst < 6.5,0.6863905325443787,0.1269722013523666,507,348,159,0.7832979359799034,1,INT,0.171007371007371,0.08120531154239019,0.06681990859742903,0.1362559241706161,0.2328767123287671,0.0006546242342950361,0.01909580152610747,0.5009587078024258,0.490353762118569,0.0211693010195949,0.02294800237606485,0.05313321172795519
act_ccss_min_lninst,1.5 <= act_ccss_min_lninst < 3.5,0.4859154929577465,0.07112446781868269,284,138,146,-0.05635289684498539,2,INT,0.06781326781326781,0.0745658835546476,0.0006400929876988977,0.06635071090047394,0.09863013698630137,0.0003311838026149965,0.01153040344819073,0.5009587078024258,0.490353762118569,0.0211693010195949,0.02294800237606485,0.05313321172795519
act_ccss_min_lninst,act_ccss_min_lninst = Missing,0.3655430711610487,0.3343350864012021,1335,488,847,-0.5513852019446429,3,INT,0.2398034398034398,0.4325842696629214,0.1136966940297277,0.3258293838862559,0.2082191780821918,0.0002191243768401176,0.004458595296187042,0.5009587078024258,0.490353762118569,0.0211693010195949,0.02294800237606485,0.05313321172795519
act_ccss_min_lninst,act_ccss_min_lninst < 1.5,0.2025139664804469,0.1793137991485099,716,145,571,-1.370654952711834,4,INT,0.07125307125307126,0.2916241062308478,0.3103194673625641,0.231042654028436,0.08767123287671233,0.01310499869068113,0.003400093163457434,0.5009587078024258,0.490353762118569,0.0211693010195949,0.02294800237606485,0.05313321172795519
ags12_Min_CMaxA_Days,ags12_Min_CMaxA_Days < 8.5,0.7946666666666666,0.09391435011269722,375,298,77,1.353287101521679,0,INT,0.1464373464373464,0.03932584269662921,0.1406222816767167,0.06279620853080568,0.08493150684931507,0.01250829633723933,0.03347507377083807,0.4979382762835265,0.4866588497726427,0.02265225841859413,0.01978327431797397,0.03972923357723279
ags12_Min_CMaxA_Days,8.5 <= ags12_Min_CMaxA_Days < 12.5,0.728494623655914,0.3726521412471825,1488,1084,404,0.9869981487646379,1,INT,0.5326781326781327,0.2063329928498468,0.3094173583731202,0.3672985781990522,0.5863013698630137,7.744675885305875e-05,0.005142436835784885,0.4979382762835265,0.4866588497726427,0.02265225841859413,0.01978327431797397,0.03972923357723279
ags12_Min_CMaxA_Days,12.5 <= ags12_Min_CMaxA_Days < 13.5,0.4521072796934866,0.1307287753568745,522,236,286,-0.1921599317158072,2,INT,0.115970515970516,0.1460674157303371,0.00693898305375408,0.1184834123222749,0.1178082191780822,0.001203386057375351,2.886777315351015e-05,0.4979382762835265,0.4866588497726427,0.02265225841859413,0.01978327431797397,0.03972923357723279
ags12_Min_CMaxA_Days,ags12_Min_CMaxA_Days = Missing,0.2946341463414634,0.2566992236413724,1025,302,723,-0.8729820119706989,3,INT,0.1484029484029484,0.3692543411644535,0.2012291097753662,0.2808056872037915,0.1589041095890411,0.002162938742516296,0.0007174943136592325,0.4979382762835265,0.4866588497726427,0.02265225841859413,0.01978327431797397,0.03972923357723279
ags12_Min_CMaxA_Days,13.500 <= ags12_Min_CMaxA_Days,0.1972555746140652,0.1460055096418733,583,115,468,-1.403535511664748,4,INT,0.05651105651105651,0.2390194075587334,0.2629504999845562,0.1706161137440758,0.05205479452054795,0.003831206421989935,0.0003653608837971014,0.4979382762835265,0.4866588497726427,0.02265225841859413,0.01978327431797397,0.03972923357723279
ags9_Min_CMaxC_Days,ags9_Min_CMaxC_Days < 11.5,0.7774269928966061,0.317305284247433,1267,985,282,1.250734317146947,0,INT,0.484029484029484,0.1440245148110317,0.4119754489238476,0.292654028436019,0.473972602739726,0.001992972521585961,0.00021111324367252,0.4915181966254489,0.4810364057539966,0.02132533636275468,0.01500221125752964,0.01297272670509093
ags9_Min_CMaxC_Days,11.5 <= ags9_Min_CMaxC_Days < 12.5,0.7289972899728997,0.09241172051089407,369,269,100,0.9895405653613905,1,INT,0.1321867321867322,0.05107252298263534,0.07703976564286351,0.0971563981042654,0.1479452054794521,0.000237307070553841,0.001773551390383681,0.4915181966254489,0.4810364057539966,0.02132533636275468,0.01500221125752964,0.01297272670509093
ags9_Min_CMaxC_Days,12.5 <= ags9_Min_CMaxC_Days < 13.5,0.438177874186551,0.1154520410718758,461,202,259,-0.2485602553492621,2,INT,0.09926289926289926,0.1322778345250255,0.009471371489343466,0.0971563981042654,0.09863013698630137,0.003153624184969578,4.04243852324523e-06,0.4915181966254489,0.4810364057539966,0.02132533636275468,0.01500221125752964,0.01297272670509093
ags9_Min_CMaxC_Days,ags9_Min_CMaxC_Days = Missing,0.3627300613496933,0.3265715001252191,1304,473,831,-0.5635343152839832,3,INT,0.2324324324324324,0.4244126659856997,0.115555231890391,0.3246445497630332,0.2054794520547945,1.140023654439766e-05,0.003320529622984874,0.4915181966254489,0.4810364057539966,0.02132533636275468,0.01500221125752964,0.01297272670509093
ags9_Min_CMaxC_Days,13.500 <= ags9_Min_CMaxC_Days,0.1790540540540541,0.148259454044578,592,106,486,-1.522768792153941,4,INT,0.05208845208845209,0.2482124616956078,0.3059194536070345,0.1883886255924171,0.07397260273972603,0.009606907243875867,0.007663490009526609,0.4915181966254489,0.4810364057539966,0.02132533636275468,0.01500221125752964,0.01297272670509093
act12_n_good_days,4.500 <= act12_n_good_days,0.758274231678487,0.4237415477084899,1692,1283,409,1.143241042016407,0,INT,0.6304668304668305,0.2088866189989786,0.4655716511365047,0.3850710900473934,0.6273972602739726,0.003699682030088527,1.497901408329349e-05,0.4840272252938238,0.5013927417279147,0.03587714807477893,0.01161177413453514,0.01696188428399513
act12_n_good_days,3.5 <= act12_n_good_days < 4.5,0.5521885521885522,0.0743801652892562,297,164,133,0.2095171574789398,1,INT,0.08058968058968059,0.067926455566905,0.002161789940851125,0.07227488151658767,0.07945205479452055,6.036596666627594e-05,1.615327231266686e-05,0.4840272252938238,0.5013927417279147,0.03587714807477893,0.01161177413453514,0.01696188428399513
act12_n_good_days,2.5 <= act12_n_good_days < 3.5,0.4202453987730062,0.08164287503130478,326,137,189,-0.3217658884051656,2,INT,0.06732186732186732,0.0965270684371808,0.01051064543869187,0.08649289099526067,0.06575342465753424,0.0002795504177765625,3.691796028650765e-05,0.4840272252938238,0.5013927417279147,0.03587714807477893,0.01161177413453514,0.01696188428399513
act12_n_good_days,act12_n_good_days = Missing,0.2764578833693305,0.2319058352116203,926,256,670,-0.9621000265342458,3,INT,0.1257985257985258,0.3421859039836568,0.2164241927566833,0.2748815165876777,0.1589041095890411,0.007303345734603479,0.007728624889355929,0.4840272252938238,0.5013927417279147,0.03587714807477893,0.01161177413453514,0.01696188428399513
act12_n_good_days,act12_n_good_days < 2.5,0.2593085106382979,0.1883295767593288,752,195,557,-1.049565348076353,4,INT,0.09582309582309582,0.2844739530132789,0.2051476907598338,0.1812796208530806,0.0684931506849315,0.0002688299854002974,0.00916520914795673,0.4840272252938238,0.5013927417279147,0.03587714807477893,0.01161177413453514,0.01696188428399513
agr12_Mean_CMaxA_Days,agr12_Mean_CMaxA_Days < 14.375,0.7678437265214124,0.3333333333333333,1331,1022,309,1.196175268088715,0,INT,0.5022113022113022,0.1578140960163432,0.3985257232890297,0.3270142180094787,0.5342465753424658,0.0001209070765538704,0.001980567771461504,0.4703001357751102,0.464323505019018,0.01270812041387578,0.006079030319301573,0.0140370131761075
agr12_Mean_CMaxA_Days,14.375 <= agr12_Mean_CMaxA_Days < 14.542,0.6612903225806451,0.04658151765589782,186,123,63,0.6690488546883568,1,INT,0.06044226044226044,0.03217568947906026,0.01778044599343248,0.04265402843601896,0.0547945205479452,0.000345166979406739,0.0005530724666694201,0.4703001357751102,0.464323505019018,0.01270812041387578,0.006079030319301573,0.0140370131761075
agr12_Mean_CMaxA_Days,agr12_Mean_CMaxA_Days = Missing,0.4404984423676013,0.4019534184823441,1605,707,898,-0.2391393723214895,2,INT,0.3474201474201474,0.4586312563840654,0.03087686348308639,0.3815165876777251,0.3013698630136986,0.001066159915534775,0.006546167068624835,0.4703001357751102,0.464323505019018,0.01270812041387578,0.006079030319301573,0.0140370131761075
agr12_Mean_CMaxA_Days,14.542 <= agr12_Mean_CMaxA_Days < 14.708,0.38996138996139,0.06486351114450288,259,101,158,-0.4474741589983797,3,INT,0.04963144963144963,0.08069458631256383,0.01507408412692562,0.06872037914691943,0.0547945205479452,0.0002224416390340552,0.000509987561637943,0.4703001357751102,0.464323505019018,0.01270812041387578,0.006079030319301573,0.0140370131761075
agr12_Mean_CMaxA_Days,14.708 <= agr12_Mean_CMaxA_Days,0.1339869281045752,0.1532682193839218,612,82,530,-1.86615672844969,4,INT,0.0402948402948403,0.2706843718079673,0.4383439071193336,0.1800947867298578,0.0547945205479452,0.004324354708772134,0.004447218307713797,0.4703001357751102,0.464323505019018,0.01270812041387578,0.006079030319301573,0.0140370131761075
